reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.01,36.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.025,105.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.05,151.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.1,217.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.15,238.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.2,245.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.25,249.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.3,252.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.35,254.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.4,256.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.45,257.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.5,259.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.55,261.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.6,262.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.65,264.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.7,266.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.75,269.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.8,273.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.85,280.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.9,301.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.95,367.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.975,413.0
2026-02-07,0,wk inc flu hosp,2026-02-07,01,quantile,0.99,482.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.01,0.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.025,3.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.05,14.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.1,18.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.15,21.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.2,23.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.25,23.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.3,24.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.35,25.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.4,25.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.45,26.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.5,26.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.55,26.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.6,27.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.65,27.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.7,28.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.75,29.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.8,29.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.85,31.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.9,34.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.95,38.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.975,49.0
2026-02-07,0,wk inc flu hosp,2026-02-07,02,quantile,0.99,55.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.01,0.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.025,0.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.05,71.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.1,178.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.15,208.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.2,239.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.25,247.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.3,251.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.35,254.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.4,256.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.45,258.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.5,260.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.55,262.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.6,264.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.65,266.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.7,269.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.75,273.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.8,281.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.85,312.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.9,342.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.95,449.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.975,531.0
2026-02-07,0,wk inc flu hosp,2026-02-07,04,quantile,0.99,759.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.01,34.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.025,83.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.05,132.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.1,155.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.15,174.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.2,186.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.25,191.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.3,194.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.35,196.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.4,197.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.45,198.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.5,199.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.55,200.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.6,201.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.65,202.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.7,204.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.75,207.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.8,212.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.85,224.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.9,243.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.95,266.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.975,315.0
2026-02-07,0,wk inc flu hosp,2026-02-07,05,quantile,0.99,364.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.01,576.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.025,755.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.05,986.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.1,1270.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.15,1373.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.2,1443.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.25,1463.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.3,1472.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.35,1477.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.4,1482.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.45,1484.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.5,1488.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.55,1492.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.6,1494.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.65,1499.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.7,1504.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.75,1513.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.8,1533.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.85,1603.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.9,1706.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.95,1990.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.975,2221.0
2026-02-07,0,wk inc flu hosp,2026-02-07,06,quantile,0.99,2400.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.01,0.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.025,0.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.05,62.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.1,97.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.15,119.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.2,135.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.25,139.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.3,144.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.35,145.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.4,146.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.45,147.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.5,148.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.55,149.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.6,150.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.65,151.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.7,152.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.75,157.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.8,161.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.85,177.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.9,199.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.95,234.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.975,297.0
2026-02-07,0,wk inc flu hosp,2026-02-07,08,quantile,0.99,432.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.01,0.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.025,0.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.05,0.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.1,39.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.15,57.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.2,70.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.25,74.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.3,77.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.35,78.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.4,79.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.45,80.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.5,81.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.55,82.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.6,83.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.65,84.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.7,85.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.75,88.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.8,92.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.85,105.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.9,123.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.95,169.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.975,207.0
2026-02-07,0,wk inc flu hosp,2026-02-07,09,quantile,0.99,315.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.01,0.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.025,25.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.05,41.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.1,62.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.15,68.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.2,70.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.25,72.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.3,73.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.35,73.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.4,74.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.45,74.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.5,74.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.55,74.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.6,74.0
2026-02-07,0,wk inc flu hosp,2026-02-07,10,quantile,0.65,75.0
