location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,-1,0.01,0.5616433526157572,2025-04-19,2025-04-26,quantile,wk inc flu hosp
02,-1,0.01,0.7570920347416312,2025-04-19,2025-04-26,quantile,wk inc flu hosp
04,-1,0.01,0.0,2025-04-19,2025-04-26,quantile,wk inc flu hosp
05,-1,0.01,0.0,2025-04-19,2025-04-26,quantile,wk inc flu hosp
06,-1,0.01,164.48191824775265,2025-04-19,2025-04-26,quantile,wk inc flu hosp
08,-1,0.01,3.0194891653769935,2025-04-19,2025-04-26,quantile,wk inc flu hosp
09,-1,0.01,6.127912433101498,2025-04-19,2025-04-26,quantile,wk inc flu hosp
10,-1,0.01,0.0,2025-04-19,2025-04-26,quantile,wk inc flu hosp
11,-1,0.01,0.0,2025-04-19,2025-04-26,quantile,wk inc flu hosp
12,-1,0.01,96.65446949081732,2025-04-19,2025-04-26,quantile,wk inc flu hosp
13,-1,0.01,0.0,2025-04-19,2025-04-26,quantile,wk inc flu hosp
15,-1,0.01,4.062557084663097,2025-04-19,2025-04-26,quantile,wk inc flu hosp
16,-1,0.01,0.0,2025-04-19,2025-04-26,quantile,wk inc flu hosp
17,-1,0.01,40.72275791742641,2025-04-19,2025-04-26,quantile,wk inc flu hosp
18,-1,0.01,16.44090643588872,2025-04-19,2025-04-26,quantile,wk inc flu hosp
19,-1,0.01,0.0,2025-04-19,2025-04-26,quantile,wk inc flu hosp
20,-1,0.01,1.2947355739398478,2025-04-19,2025-04-26,quantile,wk inc flu hosp
21,-1,0.01,10.724870260450468,2025-04-19,2025-04-26,quantile,wk inc flu hosp
22,-1,0.01,18.866968742430743,2025-04-19,2025-04-26,quantile,wk inc flu hosp
23,-1,0.01,11.106690536029328,2025-04-19,2025-04-26,quantile,wk inc flu hosp
24,-1,0.01,29.65874034190623,2025-04-19,2025-04-26,quantile,wk inc flu hosp
25,-1,0.01,24.57406120083812,2025-04-19,2025-04-26,quantile,wk inc flu hosp
