location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,104.97805614298869,2024-12-21,2024-12-21,quantile,wk inc flu hosp
02,0,0.01,12.463042923507745,2024-12-21,2024-12-21,quantile,wk inc flu hosp
04,0,0.01,610.9861159186172,2024-12-21,2024-12-21,quantile,wk inc flu hosp
05,0,0.01,15.187732963530681,2024-12-21,2024-12-21,quantile,wk inc flu hosp
06,0,0.01,828.0360591208255,2024-12-21,2024-12-21,quantile,wk inc flu hosp
08,0,0.01,67.31366157806141,2024-12-21,2024-12-21,quantile,wk inc flu hosp
09,0,0.01,5.812872881510956,2024-12-21,2024-12-21,quantile,wk inc flu hosp
10,0,0.01,7.519172117442294,2024-12-21,2024-12-21,quantile,wk inc flu hosp
11,0,0.01,1.5711376620683029,2024-12-21,2024-12-21,quantile,wk inc flu hosp
12,0,0.01,499.2662407003063,2024-12-21,2024-12-21,quantile,wk inc flu hosp
13,0,0.01,104.15504982941147,2024-12-21,2024-12-21,quantile,wk inc flu hosp
15,0,0.01,16.34518978840058,2024-12-21,2024-12-21,quantile,wk inc flu hosp
16,0,0.01,55.134068868840075,2024-12-21,2024-12-21,quantile,wk inc flu hosp
17,0,0.01,114.07243510051768,2024-12-21,2024-12-21,quantile,wk inc flu hosp
18,0,0.01,66.89569998879956,2024-12-21,2024-12-21,quantile,wk inc flu hosp
19,0,0.01,5.907916597296182,2024-12-21,2024-12-21,quantile,wk inc flu hosp
20,0,0.01,45.90519777400136,2024-12-21,2024-12-21,quantile,wk inc flu hosp
21,0,0.01,34.83674666055146,2024-12-21,2024-12-21,quantile,wk inc flu hosp
22,0,0.01,138.1598135841238,2024-12-21,2024-12-21,quantile,wk inc flu hosp
23,0,0.01,0.0,2024-12-21,2024-12-21,quantile,wk inc flu hosp
24,0,0.01,30.621250323232044,2024-12-21,2024-12-21,quantile,wk inc flu hosp
25,0,0.01,60.47074132042355,2024-12-21,2024-12-21,quantile,wk inc flu hosp
26,0,0.01,70.69227663110945,2024-12-21,2024-12-21,quantile,wk inc flu hosp
27,0,0.01,61.92548612852279,2024-12-21,2024-12-21,quantile,wk inc flu hosp
28,0,0.01,21.115391044665486,2024-12-21,2024-12-21,quantile,wk inc flu hosp
29,0,0.01,28.350044932522046,2024-12-21,2024-12-21,quantile,wk inc flu hosp
30,0,0.01,0.38758499322795464,2024-12-21,2024-12-21,quantile,wk inc flu hosp
31,0,0.01,4.648178385137381,2024-12-21,2024-12-21,quantile,wk inc flu hosp
32,0,0.01,42.423317107540406,2024-12-21,2024-12-21,quantile,wk inc flu hosp
33,0,0.01,9.024508091088242,2024-12-21,2024-12-21,quantile,wk inc flu hosp
34,0,0.01,90.38245552198758,2024-12-21,2024-12-21,quantile,wk inc flu hosp
35,0,0.01,54.08898965576487,2024-12-21,2024-12-21,quantile,wk inc flu hosp
36,0,0.01,215.5074474042008,2024-12-21,2024-12-21,quantile,wk inc flu hosp
37,0,0.01,78.8079379801024,2024-12-21,2024-12-21,quantile,wk inc flu hosp
38,0,0.01,0.0,2024-12-21,2024-12-21,quantile,wk inc flu hosp
39,0,0.01,66.08495948552117,2024-12-21,2024-12-21,quantile,wk inc flu hosp
40,0,0.01,13.24298380699023,2024-12-21,2024-12-21,quantile,wk inc flu hosp
41,0,0.01,107.03479058043433,2024-12-21,2024-12-21,quantile,wk inc flu hosp
42,0,0.01,121.7353094309873,2024-12-21,2024-12-21,quantile,wk inc flu hosp
44,0,0.01,15.105748433921462,2024-12-21,2024-12-21,quantile,wk inc flu hosp
45,0,0.01,25.11516013212511,2024-12-21,2024-12-21,quantile,wk inc flu hosp
46,0,0.01,2.075167193342352,2024-12-21,2024-12-21,quantile,wk inc flu hosp
47,0,0.01,97.3378305089547,2024-12-21,2024-12-21,quantile,wk inc flu hosp
48,0,0.01,338.3031154353952,2024-12-21,2024-12-21,quantile,wk inc flu hosp
49,0,0.01,57.07772897389767,2024-12-21,2024-12-21,quantile,wk inc flu hosp
50,0,0.01,1.334771109351359,2024-12-21,2024-12-21,quantile,wk inc flu hosp
51,0,0.01,55.284697841486356,2024-12-21,2024-12-21,quantile,wk inc flu hosp
53,0,0.01,96.45964893761935,2024-12-21,2024-12-21,quantile,wk inc flu hosp
54,0,0.01,7.949915185035773,2024-12-21,2024-12-21,quantile,wk inc flu hosp
55,0,0.01,21.64897113768389,2024-12-21,2024-12-21,quantile,wk inc flu hosp
56,0,0.01,15.454797557552935,2024-12-21,2024-12-21,quantile,wk inc flu hosp
72,0,0.01,271.26638327565877,2024-12-21,2024-12-21,quantile,wk inc flu hosp
US,0,0.01,4647.228929342322,2024-12-21,2024-12-21,quantile,wk inc flu hosp
01,0,0.025,119.66784028757583,2024-12-21,2024-12-21,quantile,wk inc flu hosp
02,0,0.025,13.941138305271055,2024-12-21,2024-12-21,quantile,wk inc flu hosp
04,0,0.025,652.0797899166906,2024-12-21,2024-12-21,quantile,wk inc flu hosp
05,0,0.025,18.669210584028026,2024-12-21,2024-12-21,quantile,wk inc flu hosp
06,0,0.025,899.9532792777386,2024-12-21,2024-12-21,quantile,wk inc flu hosp
08,0,0.025,78.28054510032922,2024-12-21,2024-12-21,quantile,wk inc flu hosp
09,0,0.025,8.509219898458552,2024-12-21,2024-12-21,quantile,wk inc flu hosp
10,0,0.025,8.839702887640824,2024-12-21,2024-12-21,quantile,wk inc flu hosp
11,0,0.025,2.0421441633549167,2024-12-21,2024-12-21,quantile,wk inc flu hosp
12,0,0.025,537.6929004993035,2024-12-21,2024-12-21,quantile,wk inc flu hosp
13,0,0.025,117.07128979902916,2024-12-21,2024-12-21,quantile,wk inc flu hosp
15,0,0.025,17.95210741166497,2024-12-21,2024-12-21,quantile,wk inc flu hosp
16,0,0.025,61.43036978532958,2024-12-21,2024-12-21,quantile,wk inc flu hosp
17,0,0.025,130.0488636537194,2024-12-21,2024-12-21,quantile,wk inc flu hosp
18,0,0.025,74.77902294740944,2024-12-21,2024-12-21,quantile,wk inc flu hosp
19,0,0.025,8.575868130381265,2024-12-21,2024-12-21,quantile,wk inc flu hosp
20,0,0.025,51.801968561921306,2024-12-21,2024-12-21,quantile,wk inc flu hosp
21,0,0.025,41.49857914787592,2024-12-21,2024-12-21,quantile,wk inc flu hosp
22,0,0.025,154.58017853244195,2024-12-21,2024-12-21,quantile,wk inc flu hosp
23,0,0.025,0.0,2024-12-21,2024-12-21,quantile,wk inc flu hosp
24,0,0.025,35.50670334259382,2024-12-21,2024-12-21,quantile,wk inc flu hosp
25,0,0.025,68.71014996962545,2024-12-21,2024-12-21,quantile,wk inc flu hosp
26,0,0.025,84.27121951119375,2024-12-21,2024-12-21,quantile,wk inc flu hosp
27,0,0.025,67.98511454513007,2024-12-21,2024-12-21,quantile,wk inc flu hosp
28,0,0.025,25.568652944112085,2024-12-21,2024-12-21,quantile,wk inc flu hosp
29,0,0.025,34.779722396403734,2024-12-21,2024-12-21,quantile,wk inc flu hosp
30,0,0.025,1.2216493912335,2024-12-21,2024-12-21,quantile,wk inc flu hosp
31,0,0.025,6.357135497745489,2024-12-21,2024-12-21,quantile,wk inc flu hosp
32,0,0.025,49.33987988254498,2024-12-21,2024-12-21,quantile,wk inc flu hosp
33,0,0.025,10.282099978015253,2024-12-21,2024-12-21,quantile,wk inc flu hosp
34,0,0.025,100.10051141293856,2024-12-21,2024-12-21,quantile,wk inc flu hosp
35,0,0.025,61.884833899022595,2024-12-21,2024-12-21,quantile,wk inc flu hosp
36,0,0.025,236.7023375136676,2024-12-21,2024-12-21,quantile,wk inc flu hosp
37,0,0.025,90.13208062881813,2024-12-21,2024-12-21,quantile,wk inc flu hosp
38,0,0.025,0.0,2024-12-21,2024-12-21,quantile,wk inc flu hosp
39,0,0.025,74.13952668225825,2024-12-21,2024-12-21,quantile,wk inc flu hosp
40,0,0.025,17.761715157011697,2024-12-21,2024-12-21,quantile,wk inc flu hosp
41,0,0.025,118.62470136290224,2024-12-21,2024-12-21,quantile,wk inc flu hosp
42,0,0.025,138.3712312097151,2024-12-21,2024-12-21,quantile,wk inc flu hosp
44,0,0.025,17.295740009754734,2024-12-21,2024-12-21,quantile,wk inc flu hosp
45,0,0.025,31.72210363885206,2024-12-21,2024-12-21,quantile,wk inc flu hosp
46,0,0.025,2.8609995867572517,2024-12-21,2024-12-21,quantile,wk inc flu hosp
47,0,0.025,107.80632449781193,2024-12-21,2024-12-21,quantile,wk inc flu hosp
48,0,0.025,370.71755855989164,2024-12-21,2024-12-21,quantile,wk inc flu hosp
49,0,0.025,62.06368812507615,2024-12-21,2024-12-21,quantile,wk inc flu hosp
50,0,0.025,1.8267553589800885,2024-12-21,2024-12-21,quantile,wk inc flu hosp
51,0,0.025,64.37916760948494,2024-12-21,2024-12-21,quantile,wk inc flu hosp
53,0,0.025,104.82608925100465,2024-12-21,2024-12-21,quantile,wk inc flu hosp
54,0,0.025,9.909658634540309,2024-12-21,2024-12-21,quantile,wk inc flu hosp
55,0,0.025,25.90244944888796,2024-12-21,2024-12-21,quantile,wk inc flu hosp
56,0,0.025,17.07307346441013,2024-12-21,2024-12-21,quantile,wk inc flu hosp
72,0,0.025,292.9232231956918,2024-12-21,2024-12-21,quantile,wk inc flu hosp
US,0,0.025,5263.277937130238,2024-12-21,2024-12-21,quantile,wk inc flu hosp
01,0,0.05,128.31739073342885,2024-12-21,2024-12-21,quantile,wk inc flu hosp
