location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,119.19679064256003,2025-03-15,2025-03-15,quantile,wk inc flu hosp
02,0,0.01,27.43779433865507,2025-03-15,2025-03-15,quantile,wk inc flu hosp
04,0,0.01,201.38517949958555,2025-03-15,2025-03-15,quantile,wk inc flu hosp
05,0,0.01,97.99312486421853,2025-03-15,2025-03-15,quantile,wk inc flu hosp
06,0,0.01,266.8342417484227,2025-03-15,2025-03-15,quantile,wk inc flu hosp
08,0,0.01,128.3451223477485,2025-03-15,2025-03-15,quantile,wk inc flu hosp
09,0,0.01,72.51323440491903,2025-03-15,2025-03-15,quantile,wk inc flu hosp
10,0,0.01,15.378598055040932,2025-03-15,2025-03-15,quantile,wk inc flu hosp
11,0,0.01,55.09568087204744,2025-03-15,2025-03-15,quantile,wk inc flu hosp
12,0,0.01,483.9560087094448,2025-03-15,2025-03-15,quantile,wk inc flu hosp
13,0,0.01,121.06569069009542,2025-03-15,2025-03-15,quantile,wk inc flu hosp
15,0,0.01,23.562806855580057,2025-03-15,2025-03-15,quantile,wk inc flu hosp
16,0,0.01,13.224494459072872,2025-03-15,2025-03-15,quantile,wk inc flu hosp
17,0,0.01,361.6448181737799,2025-03-15,2025-03-15,quantile,wk inc flu hosp
18,0,0.01,377.71763926427155,2025-03-15,2025-03-15,quantile,wk inc flu hosp
19,0,0.01,103.68853043635788,2025-03-15,2025-03-15,quantile,wk inc flu hosp
20,0,0.01,100.38881983520518,2025-03-15,2025-03-15,quantile,wk inc flu hosp
21,0,0.01,260.2087311277927,2025-03-15,2025-03-15,quantile,wk inc flu hosp
22,0,0.01,186.32387969309838,2025-03-15,2025-03-15,quantile,wk inc flu hosp
23,0,0.01,97.27196836103059,2025-03-15,2025-03-15,quantile,wk inc flu hosp
24,0,0.01,133.92014294223952,2025-03-15,2025-03-15,quantile,wk inc flu hosp
25,0,0.01,340.4526152385645,2025-03-15,2025-03-15,quantile,wk inc flu hosp
26,0,0.01,473.896357866699,2025-03-15,2025-03-15,quantile,wk inc flu hosp
27,0,0.01,50.52761304254248,2025-03-15,2025-03-15,quantile,wk inc flu hosp
28,0,0.01,65.9944264696672,2025-03-15,2025-03-15,quantile,wk inc flu hosp
29,0,0.01,161.1710981261844,2025-03-15,2025-03-15,quantile,wk inc flu hosp
30,0,0.01,85.13035553896421,2025-03-15,2025-03-15,quantile,wk inc flu hosp
31,0,0.01,42.80973462769803,2025-03-15,2025-03-15,quantile,wk inc flu hosp
32,0,0.01,16.989508424522885,2025-03-15,2025-03-15,quantile,wk inc flu hosp
33,0,0.01,51.944918171631144,2025-03-15,2025-03-15,quantile,wk inc flu hosp
34,0,0.01,251.61254582346572,2025-03-15,2025-03-15,quantile,wk inc flu hosp
35,0,0.01,40.64267332343989,2025-03-15,2025-03-15,quantile,wk inc flu hosp
36,0,0.01,418.7162178922824,2025-03-15,2025-03-15,quantile,wk inc flu hosp
37,0,0.01,308.4461340240466,2025-03-15,2025-03-15,quantile,wk inc flu hosp
38,0,0.01,11.303185276730563,2025-03-15,2025-03-15,quantile,wk inc flu hosp
39,0,0.01,888.3511718811778,2025-03-15,2025-03-15,quantile,wk inc flu hosp
40,0,0.01,32.355158887419854,2025-03-15,2025-03-15,quantile,wk inc flu hosp
41,0,0.01,67.77389883227424,2025-03-15,2025-03-15,quantile,wk inc flu hosp
42,0,0.01,927.5356281598825,2025-03-15,2025-03-15,quantile,wk inc flu hosp
44,0,0.01,19.747876934430856,2025-03-15,2025-03-15,quantile,wk inc flu hosp
45,0,0.01,155.55045137909246,2025-03-15,2025-03-15,quantile,wk inc flu hosp
46,0,0.01,19.78853037754612,2025-03-15,2025-03-15,quantile,wk inc flu hosp
47,0,0.01,211.05996683127063,2025-03-15,2025-03-15,quantile,wk inc flu hosp
48,0,0.01,402.53813654561947,2025-03-15,2025-03-15,quantile,wk inc flu hosp
49,0,0.01,49.9352271655518,2025-03-15,2025-03-15,quantile,wk inc flu hosp
50,0,0.01,15.529653474501883,2025-03-15,2025-03-15,quantile,wk inc flu hosp
51,0,0.01,194.79737209436004,2025-03-15,2025-03-15,quantile,wk inc flu hosp
53,0,0.01,77.6826614851311,2025-03-15,2025-03-15,quantile,wk inc flu hosp
54,0,0.01,246.7760766513271,2025-03-15,2025-03-15,quantile,wk inc flu hosp
55,0,0.01,207.33596737233688,2025-03-15,2025-03-15,quantile,wk inc flu hosp
56,0,0.01,13.64083561699276,2025-03-15,2025-03-15,quantile,wk inc flu hosp
72,0,0.01,123.56777178204291,2025-03-15,2025-03-15,quantile,wk inc flu hosp
US,0,0.01,8804.752418608277,2025-03-15,2025-03-15,quantile,wk inc flu hosp
01,0,0.025,135.61472032061673,2025-03-15,2025-03-15,quantile,wk inc flu hosp
02,0,0.025,29.68246231001722,2025-03-15,2025-03-15,quantile,wk inc flu hosp
04,0,0.025,222.0086797291797,2025-03-15,2025-03-15,quantile,wk inc flu hosp
05,0,0.025,105.8649482725873,2025-03-15,2025-03-15,quantile,wk inc flu hosp
06,0,0.025,307.71550198419453,2025-03-15,2025-03-15,quantile,wk inc flu hosp
08,0,0.025,146.37350197300944,2025-03-15,2025-03-15,quantile,wk inc flu hosp
09,0,0.025,81.50300300255293,2025-03-15,2025-03-15,quantile,wk inc flu hosp
