location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,60.438413342947754,2024-12-14,2024-12-14,quantile,wk inc flu hosp
02,0,0.01,2.273507611910533,2024-12-14,2024-12-14,quantile,wk inc flu hosp
04,0,0.01,549.7252636398606,2024-12-14,2024-12-14,quantile,wk inc flu hosp
05,0,0.01,3.0867788307098394,2024-12-14,2024-12-14,quantile,wk inc flu hosp
06,0,0.01,737.2415271957,2024-12-14,2024-12-14,quantile,wk inc flu hosp
08,0,0.01,53.932153068328674,2024-12-14,2024-12-14,quantile,wk inc flu hosp
09,0,0.01,1.0541699248997363,2024-12-14,2024-12-14,quantile,wk inc flu hosp
10,0,0.01,2.990235675673281,2024-12-14,2024-12-14,quantile,wk inc flu hosp
11,0,0.01,0.0,2024-12-14,2024-12-14,quantile,wk inc flu hosp
12,0,0.01,525.4919589643383,2024-12-14,2024-12-14,quantile,wk inc flu hosp
13,0,0.01,37.870173291447,2024-12-14,2024-12-14,quantile,wk inc flu hosp
15,0,0.01,2.99078976025484,2024-12-14,2024-12-14,quantile,wk inc flu hosp
16,0,0.01,44.38196810678253,2024-12-14,2024-12-14,quantile,wk inc flu hosp
17,0,0.01,47.96135403644374,2024-12-14,2024-12-14,quantile,wk inc flu hosp
18,0,0.01,34.771612419445276,2024-12-14,2024-12-14,quantile,wk inc flu hosp
19,0,0.01,2.068359670314052,2024-12-14,2024-12-14,quantile,wk inc flu hosp
20,0,0.01,13.962842457065436,2024-12-14,2024-12-14,quantile,wk inc flu hosp
21,0,0.01,19.011505054542724,2024-12-14,2024-12-14,quantile,wk inc flu hosp
22,0,0.01,95.39336786298362,2024-12-14,2024-12-14,quantile,wk inc flu hosp
23,0,0.01,0.0,2024-12-14,2024-12-14,quantile,wk inc flu hosp
24,0,0.01,11.08342522983531,2024-12-14,2024-12-14,quantile,wk inc flu hosp
25,0,0.01,41.29618508113521,2024-12-14,2024-12-14,quantile,wk inc flu hosp
26,0,0.01,34.50803883351365,2024-12-14,2024-12-14,quantile,wk inc flu hosp
