"location","horizon","target_end_date","reference_date","target","output_type","output_type_id","value"
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.01,27.0772982430307
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.025,32.9565815048402
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.05,38.317780766893
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.1,44.8736999261106
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.15,49.3954188102118
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.2,52.7075648493264
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.25,55.7533486393678
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.3,58.6582348573368
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.35,61.7558114437246
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.4,64.9286173058275
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.45,68.5423433870322
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.5,72.2020957168141
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.55,74.9292013179928
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.6,78.71259720765
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.65,81.9157843246786
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.7,85.8200652912746
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.75,87.8230526246514
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.8,91.4656953819855
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.85,97.1434677695347
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.9,104.487490393471
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.95,110.601860744221
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.975,124.370991942494
"01",0,2023-11-18,2023-11-18,"wk inc flu hosp","quantile",0.99,135.31876944455
"01",1,2023-11-25,2023-11-18,"wk inc flu hosp","quantile",0.01,20.6763820427442
"01",1,2023-11-25,2023-11-18,"wk inc flu hosp","quantile",0.025,27.6898921431932
"01",1,2023-11-25,2023-11-18,"wk inc flu hosp","quantile",0.05,34.19783993604
"01",1,2023-11-25,2023-11-18,"wk inc flu hosp","quantile",0.1,42.5768043021426
"01",1,2023-11-25,2023-11-18,"wk inc flu hosp","quantile",0.15,48.9489889509303
"01",1,2023-11-25,2023-11-18,"wk inc flu hosp","quantile",0.2,53.9045534224704
"01",1,2023-11-25,2023-11-18,"wk inc flu hosp","quantile",0.25,58.7122698706977
"01",1,2023-11-25,2023-11-18,"wk inc flu hosp","quantile",0.3,64.1310652896162
"01",1,2023-11-25,2023-11-18,"wk inc flu hosp","quantile",0.35,68.9471692631125
