"location","horizon","target_end_date","reference_date","target","output_type","output_type_id","value"
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.01,48.8102423987173
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.025,63.2017221773653
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.05,69.0674294878045
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.1,75.5076317187437
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.15,79.916490954991
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.2,83.55625016681
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.25,89.4938681899555
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.3,92.1645816371784
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.35,94.5015992808417
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.4,94.8236428812974
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.45,95.3287230463817
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.5,97.0939125280311
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.55,99.9515725041704
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.6,103.403965714657
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.65,105.92308335503
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.7,108.592501984455
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.75,111.244258726526
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.8,116.262028968044
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.85,121.8371329572
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.9,130.485555282874
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.95,143.337630868713
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.975,159.312461346939
"01",0,2023-11-25,2023-11-25,"wk inc flu hosp","quantile",0.99,198.232817939372
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.01,48.8318000890909
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.025,62.9056119856057
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.05,71.7548476523826
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.1,81.3493305584305
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.15,90.7311860728919
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.2,97.9818164814094
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.25,105.357210745861
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.3,112.448562557406
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.35,117.629995481686
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.4,121.343018585017
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.45,124.266775399926
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.5,131.398335735017
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.55,140.458695373465
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.6,148.471421750202
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.65,157.162759293696
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.7,164.676727307324
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.75,169.642962734175
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.8,186.384940222455
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.85,196.10509507688
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.9,203.55412341205
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.95,205.280785722708
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.975,232.980767575987
"01",1,2023-12-02,2023-11-25,"wk inc flu hosp","quantile",0.99,268.126774888673
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.01,48.7736506864584
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.025,63.182465710666
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.05,72.9747078358396
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.1,86.04374410958
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.15,99.4250088068758
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.2,111.256487220123
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.25,123.438382149263
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.3,135.107227403155
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.35,145.082728515287
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.4,153.71872424303
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.45,159.911376022766
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.5,173.607255816515
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.55,181.486340240795
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.6,197.907302530589
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.65,214.81778662236
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.7,229.75339842869
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.75,245.572779855958
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.8,272.616679045311
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.85,291.109247839207
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.9,305.493312152817
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.95,326.823512368974
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.975,357.592117382132
"01",2,2023-12-09,2023-11-25,"wk inc flu hosp","quantile",0.99,368.449815874493
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.01,48.5161064258506
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.025,62.9598005271995
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.05,73.2916628380191
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.1,87.3068585377798
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.15,101.177265489122
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.2,113.527305062842
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.25,127.57630571572
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.3,144.532480718293
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.35,157.565151419586
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.4,170.57487787764
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.45,180.869952457035
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.5,198.01416797215
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.55,210.489324369879
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.6,229.537044847355
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.65,249.114545321498
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.7,264.657987683543
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.75,293.440889344385
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.8,326.670903755362
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.85,352.596646781531
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.9,380.005725512513
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.95,410.561369628413
"01",3,2023-12-16,2023-11-25,"wk inc flu hosp","quantile",0.975,446.596903171637
