location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,0.0
02,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,2.492452497724292
04,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,68.98550374552393
05,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,40.39701074942323
06,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,523.1362327551767
08,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,20.400457193758395
09,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,20.57094404163361
10,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,29.75837159322098
11,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,3.5281488471530595
12,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,321.6575524046032
13,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,37.57001103319633
15,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,11.135232822874661
16,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,18.496410521638243
17,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,148.00939898063575
18,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,40.86724313116428
19,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,59.51705455150461
20,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,42.775050810178165
21,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,56.01506982864937
22,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,109.00053261402093
23,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,13.550920777201226
24,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,23.40277799965588
25,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,46.29207508404048
26,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,84.3417783986069
27,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,99.01645649844465
28,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,33.64696400002519
29,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,122.75665379749928
30,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,10.493222464198212
31,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,41.39601214452157
32,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,5.416985883862201
33,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,17.779411232827865
34,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,88.93783579472223
35,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,35.37433365141613
36,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,74.70738426919726
37,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,104.3868287681612
38,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,45.191641512982116
39,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,134.83663302844948
40,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,41.81993737515384
41,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,48.85978763868345
42,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,301.7951111081316
44,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,10.858771156215441
45,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,43.29138969120995
46,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,9.930817610971427
47,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,57.88792299399138
48,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,410.80236811375426
49,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,0.0
50,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,3.529060419230756
51,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,103.35699710564316
53,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,102.45376511683509
54,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,63.19436765450689
55,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,92.44561035281528
56,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,1.8637479441819806
72,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,94.79225765305752
US,2026-01-31,0,2026-01-31,wk inc flu hosp,quantile,0.01,4185.442691711078
01,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,0.0
02,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,1.8694335005620786
04,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,63.65702134179695
05,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,37.45845444991511
06,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,438.4448405542186
08,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,16.396152781479692
09,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,16.307803028476755
10,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,25.970031060048093
11,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,2.9779217239652183
12,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,296.2634611790609
13,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,32.831528889737164
15,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,8.942355623185273
16,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,15.306529933041471
17,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,119.85806552922291
18,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,36.65175924986205
19,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,51.48616088707663
20,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,36.02855722606412
21,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,51.71982123931401
22,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,93.59577642347773
23,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,10.963133338208797
24,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,17.306252911230924
25,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,36.49284208451445
26,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,70.72602317811986
27,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,81.18896595999126
28,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,28.462884179768093
29,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,110.96734277898614
30,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,8.815695984100623
31,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,34.686076450084116
32,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,3.961389343654018
33,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,15.665303810454553
34,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,74.73106858756093
35,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,29.127960622464904
36,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,58.86631820826173
37,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,88.31388511859956
38,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,34.740215491145115
39,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,112.2739141249782
40,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,39.65711848439816
41,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,40.22015506032482
42,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,269.0013982164862
44,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,8.624119621559224
45,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,36.0608134684285
46,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,8.040946479703148
47,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,51.961523471875836
48,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,345.1468544299819
49,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,0.0
50,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,3.125542786868485
51,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,89.42631209372134
53,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,85.90578861744575
54,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,53.80529683586114
55,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,76.75295671103375
56,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,1.5966778049293147
72,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,83.47016113058675
US,2026-01-31,1,2026-02-07,wk inc flu hosp,quantile,0.01,3433.967113644737
01,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,0.0
02,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,1.489253148950139
04,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,56.11684063415021
05,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,33.956208456315466
06,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,381.88062256136936
08,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,13.48435770635449
09,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,13.287582691274146
10,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,21.368360569307487
11,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,2.524751546939979
12,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,250.7051145196403
13,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,28.43377337008052
15,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,7.291846665587589
16,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,12.592438818040788
17,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,99.3620761365715
18,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,32.426561515115836
19,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,47.65081829553395
20,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,33.47502026873772
21,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,45.48890884310714
22,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,79.5218472766791
23,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,9.622494723035716
24,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,15.959230847135583
25,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,35.77343968653379
26,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,60.18426835978729
27,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,69.11956902704567
28,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,24.299045000420026
29,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,96.97289661131498
30,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,7.832833076294086
31,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,30.30710976483695
32,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,2.5031940824806553
33,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,12.192515549470249
34,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,64.3732451159459
35,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,24.624775949883354
36,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,45.620454820646884
37,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,76.66535219942267
38,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,26.65571566624053
39,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,114.1945727635513
40,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,33.707846824819796
41,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,33.98655775342951
42,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,227.25182838736356
44,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,7.542959544783027
45,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,30.781594802162104
46,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,6.945264047552446
47,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,45.03422730597793
48,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,294.4384868974046
49,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,0.0
50,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,2.8899025438201833
51,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,80.48100920388113
53,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,75.12553540188657
54,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,48.0419967144684
55,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,67.87345372173127
56,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,1.1871325914682704
72,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,72.76950210210076
US,2026-01-31,2,2026-02-14,wk inc flu hosp,quantile,0.01,2860.157634994686
01,2026-01-31,3,2026-02-21,wk inc flu hosp,quantile,0.01,0.0
02,2026-01-31,3,2026-02-21,wk inc flu hosp,quantile,0.01,1.154082331727451
04,2026-01-31,3,2026-02-21,wk inc flu hosp,quantile,0.01,53.23585989586285
05,2026-01-31,3,2026-02-21,wk inc flu hosp,quantile,0.01,31.285768633892793
06,2026-01-31,3,2026-02-21,wk inc flu hosp,quantile,0.01,355.63758304177816
08,2026-01-31,3,2026-02-21,wk inc flu hosp,quantile,0.01,10.36059824423738
