location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,492.35397750196705
02,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,29.333899107862614
04,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,1858.0029817580923
05,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,155.86933788196157
06,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,2397.3510189954904
08,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,473.0906574712795
09,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,223.7517180922942
10,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,140.83947796630486
11,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,51.688366051886035
12,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,1859.0531900923336
13,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,849.8560119511702
15,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,44.010208048689066
16,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,120.49278643090838
17,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,1214.189164333619
18,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,644.2486013065413
19,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,123.09075842760727
20,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,252.1277937210845
21,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,487.9384522859264
22,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,427.2827670103348
23,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,58.58712532987102
24,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,282.3294120125951
25,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,365.25672586685164
26,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,445.8987496965172
27,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,1112.2269184668978
28,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,203.79154683382805
29,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,570.7332273022992
30,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,45.70964820360016
31,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,121.49272744171539
32,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,270.06562581341876
33,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,269.9486614835084
34,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,1093.2730546322266
35,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,211.0691564609439
36,2025-01-11,0,2025-01-11,wk inc flu hosp,quantile,0.01,1884.9644701614616
