location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,30.321028043861585
02,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,0.7676277540906885
04,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,59.635322071682914
05,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,25.454940500669245
06,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,211.87841779704144
08,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,24.324063790140556
09,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,5.145873056881161
10,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,7.902296750190656
11,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,0.7825162132727181
12,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,267.4577519221436
13,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,28.2833192579154
15,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,3.37305313416693
16,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,17.477550615480414
17,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,87.22154285276713
18,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,81.42529300395078
19,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,14.856812671775671
20,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,24.989683692512973
21,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,69.98995627902258
22,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,46.67960409958567
23,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,3.918716752920628
24,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,2.9795376198842813
25,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,2.573395966592671
26,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,50.01112905142957
27,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,36.83857527848972
28,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,46.758175011707124
29,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,49.468388099343144
30,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,10.385191520970489
31,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,12.814639374881782
32,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,8.60020518649889
33,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,4.753620947447166
34,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,23.697888421894927
35,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,8.436862724458459
36,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,12.48934697233249
37,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,21.901355058050846
38,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,7.211900355993585
39,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,105.74386068590388
40,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,24.57626386315827
41,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,12.72421444521659
42,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,285.3351177722702
44,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,0.6036608109177933
45,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,32.032765833218164
46,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,13.17966252020829
47,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,53.30804720183609
48,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,144.12600233540383
49,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,0.0
50,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,4.67888218435169
51,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,25.8517432305543
53,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,38.465842384436314
54,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,26.470741851061323
55,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,40.64825232906257
56,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,1.7815874322658611
72,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,20.268192343942566
US,2026-03-14,0,2026-03-14,wk inc flu hosp,quantile,0.01,2766.6231286115885
01,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,15.244625245543297
02,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,0.0
04,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,29.457789466963355
05,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,13.234379893737293
06,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,95.63405292272158
08,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,9.216685433719078
09,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,0.0
10,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,3.8281797592959634
11,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,0.0
12,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,156.14669245147041
13,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,3.620716961024257
15,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,0.9583358761513585
16,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,9.057563111885777
17,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,40.94663173454669
18,2026-03-14,1,2026-03-21,wk inc flu hosp,quantile,0.01,45.03532079149614
