location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,63.188064811637226
02,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,6.461597407807833
04,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,103.53539371136648
05,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,26.822719254526124
06,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,215.9962257774973
08,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,43.12765174356205
09,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,25.265659381893265
10,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,0.38303170578575707
11,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,23.087491723490285
12,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,335.98674113754066
13,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,74.79153357302643
15,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,9.14123063560968
16,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,17.602141829991353
17,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,105.55150817594055
18,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,74.94789433230964
19,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,9.5593280294803
20,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,18.175729458879452
21,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,73.54907915734532
22,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,68.0621791694494
23,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,12.787919803626767
24,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,35.95406421510972
25,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,67.23072844596979
26,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,175.6167344880956
27,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,22.406855283159885
28,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,13.894069708984215
29,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,34.094943395854415
30,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,13.88320421315703
31,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,9.243976412579242
32,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,30.11113246671468
33,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,29.416829381374615
34,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,120.00204149789576
35,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,16.0003618259203
36,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,232.95155942943185
37,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,91.2515478896391
38,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,6.246127705611197
39,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,122.07905330361133
40,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,16.997669706795268
41,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,22.311377095606108
42,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,319.17465685904864
44,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,2.978748088845658
45,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,47.065019049379636
46,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,1.22553250485786
47,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,87.37019442452159
48,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,275.7629987665417
49,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,15.50505543731735
50,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,7.152075745874567
51,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,76.03880827235218
53,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,38.36566952971272
54,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,47.44548387711157
55,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,32.04261815018286
56,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,7.189321062941052
72,2025-04-05,0,2025-04-05,wk inc flu hosp,quantile,0.01,68.6246710584295
01,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,50.33046697558422
02,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,5.335417284072428
04,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,88.03602271131923
05,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,20.610173547136593
06,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,172.6291643676112
08,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,34.08079752978642
09,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,19.039434362357163
10,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,0.0
11,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,20.199514104780537
12,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,284.3919704716132
13,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,60.049871183804946
15,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,7.0129119022741095
16,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,13.388950334806996
17,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,81.90812501008571
18,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,59.04022922889296
19,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,5.796246094334019
20,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,13.228261936924923
21,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,57.01603977699105
22,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,54.703134609986925
23,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,9.55789284784343
24,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,24.635227785716037
25,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,52.62981751401318
26,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,141.37557992383393
27,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,15.632793966172162
28,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,10.025574265808952
29,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,22.840825768027493
30,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,10.73996629212018
31,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,6.739462988795239
32,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,23.88438569056821
33,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,26.325647579548367
34,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,98.71574740709131
35,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,11.885024671474513
36,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,191.59841272131834
37,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,71.86346228833303
38,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,4.92274176862354
39,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,91.38220442627818
40,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,12.60817486011987
41,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,16.61017871749486
42,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,248.24739618217572
44,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,1.7306491527469936
45,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,36.60273461866157
46,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,0.6514199629410309
47,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,72.23150709022353
48,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,235.54038848310097
49,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,10.980981075052682
50,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,5.4991591516352525
51,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,59.6360455255765
53,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,29.36197166671102
54,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,38.71151627797098
55,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,22.154716900594114
56,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,5.631378196049555
72,2025-04-05,1,2025-04-12,wk inc flu hosp,quantile,0.01,56.40965555488563
01,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,40.09655293676974
02,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,4.341375541928297
04,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,78.4083221008542
05,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,14.749813006823452
06,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,143.96921920600377
08,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,25.833509756692504
09,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,13.824808603727233
10,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
11,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,15.558740610914832
12,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,250.2187063258203
13,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,50.908876761126415
15,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,5.204073200421017
16,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,10.15075870989232
17,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,57.22932378670919
18,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,45.20217875345776
19,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,2.4720218982225797
20,2025-04-05,2,2025-04-19,wk inc flu hosp,quantile,0.01,9.119571284657711
