location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,202.75619919420552
02,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,7.316864623936116
04,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,178.49367157068028
05,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,134.18911522948005
06,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,1221.4070020469603
08,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,114.67489329568109
09,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,151.46858256675276
10,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,18.087551412625338
11,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,50.948620106729905
12,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,962.1905010083458
13,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,353.39307365889346
15,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,24.935985911229466
16,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,23.626889086857954
17,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,596.6573619319165
18,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,269.45650551181535
19,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,119.00254469527648
20,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,39.57784500832426
21,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,110.7343856826175
22,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,106.227546352139
23,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,39.88276607314995
24,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,216.68152812309563
25,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,406.75413711647093
26,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,438.7975772562876
27,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,327.1824781843839
28,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,140.48209102248498
29,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,156.94890265009101
30,2025-02-01,0,2025-02-01,wk inc flu hosp,quantile,0.01,12.421837078391942
