location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,49.42798203742561
02,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,2.581067549481106
04,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,76.44304913394896
05,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,88.02687979681754
06,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,86.6509604006335
08,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,57.23089588218174
09,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,51.73235719019524
10,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,7.460262867765389
11,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,6.335976839170816
12,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,306.2247185660264
13,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,54.63911381531383
15,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,9.376395753367545
16,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,43.1330095745505
17,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,151.02077394836047
18,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,141.9305134681666
19,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,56.737496641922576
20,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,57.31257951149522
21,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,75.0668489548272
22,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,22.28040662535649
23,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,17.224715491124023
24,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,67.51896518265774
25,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,165.97760972546908
26,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,184.61181120374187
27,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,89.8904040572867
28,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,33.8314146249136
29,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,163.18721743956576
30,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,20.532286643524785
31,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,37.280689169548914
32,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,23.28013347943606
33,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,21.364648394050143
34,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,125.53225902673407
35,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,23.721200609263587
36,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,264.12521055120163
37,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,48.20646652816268
38,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,13.086372448510074
39,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,170.1454497150761
40,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,77.98852075518013
41,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,39.528740742621586
42,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,232.97953753822233
44,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,10.02688551693923
45,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,43.232975089990084
46,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,22.02085936860605
47,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,64.65773384318871
48,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,289.4411875956729
49,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,8.994115294365505
50,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,11.682874110666257
51,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,95.92497534547437
53,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,46.07020861382357
54,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,54.11287147651894
55,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,107.1976948443132
56,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,4.952234913205822
72,2024-03-23,0,2024-03-23,wk inc flu hosp,quantile,0.01,35.65991599098243
01,2024-03-23,1,2024-03-30,wk inc flu hosp,quantile,0.01,49.42798203742561
02,2024-03-23,1,2024-03-30,wk inc flu hosp,quantile,0.01,2.3678754089240295
04,2024-03-23,1,2024-03-30,wk inc flu hosp,quantile,0.01,76.44304913394896
