reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.01,410.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.025,422.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.05,430.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.1,452.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.15,511.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.2,598.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.25,696.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.3,816.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.35,964.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.4,1134.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.45,1317.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.5,1524.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.55,1791.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.6,2126.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.65,2589.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.7,3210.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.75,4031.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.8,5058.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.85,6548.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.9,8743.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.95,13730.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.975,19818.0
2024-12-28,peak inc flu hosp,NA,NA,01,quantile,0.99,27813.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.01,18.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.025,21.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.05,22.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.1,23.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.15,23.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.2,23.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.25,23.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.3,24.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.35,26.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.4,31.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.45,39.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.5,47.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.55,59.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.6,74.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.65,98.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.7,134.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.75,171.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.8,252.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.85,354.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.9,516.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.95,858.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.975,1294.0
2024-12-28,peak inc flu hosp,NA,NA,02,quantile,0.99,1639.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.01,884.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.025,939.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.05,972.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.1,990.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.15,994.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.2,994.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.25,995.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.3,1031.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.35,1125.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.4,1319.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.45,1651.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.5,2032.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.55,2553.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.6,3175.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.65,4219.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.7,5766.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.75,7350.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.8,10865.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.85,15273.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.9,22227.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.95,36468.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.975,54293.0
2024-12-28,peak inc flu hosp,NA,NA,04,quantile,0.99,70084.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.01,48.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.025,49.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.05,50.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.1,52.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.15,59.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.2,69.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.25,81.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.3,95.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.35,112.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.4,131.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.45,153.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.5,176.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.55,208.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.6,247.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.65,300.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.7,373.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.75,468.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.8,587.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.85,759.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.9,1013.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.95,1582.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.975,2278.0
2024-12-28,peak inc flu hosp,NA,NA,05,quantile,0.99,3234.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.01,2193.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.025,2243.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.05,2291.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.1,2418.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.15,2770.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.2,3237.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.25,3754.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.3,4402.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.35,5198.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.4,6111.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.45,7092.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.5,8210.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.55,9657.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.6,11474.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.65,13990.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.7,17372.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.75,21774.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.8,27279.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.85,35324.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.9,47366.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.95,73648.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.975,106168.0
2024-12-28,peak inc flu hosp,NA,NA,06,quantile,0.99,149602.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.01,136.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.025,152.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.05,157.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.1,162.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.15,181.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.2,212.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.25,248.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.3,291.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.35,344.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.4,405.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.45,471.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.5,544.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.55,641.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.6,761.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.65,927.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.7,1153.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.75,1449.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.8,1822.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.85,2363.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.9,3162.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.95,4918.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.975,7059.0
2024-12-28,peak inc flu hosp,NA,NA,08,quantile,0.99,10078.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.01,36.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.025,42.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.05,42.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.1,44.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.15,51.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.2,59.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.25,69.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.3,81.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.35,96.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.4,113.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.45,131.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.5,151.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.55,178.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.6,212.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.65,259.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.7,323.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.75,405.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.8,509.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.85,662.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.9,895.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.95,1366.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.975,1991.0
2024-12-28,peak inc flu hosp,NA,NA,09,quantile,0.99,2837.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.01,35.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.025,42.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.05,43.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.1,44.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.15,51.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.2,60.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.25,69.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.3,81.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.35,96.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.4,113.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.45,131.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.5,151.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.55,178.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.6,211.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.65,258.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.7,321.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.75,404.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.8,505.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.85,656.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.9,875.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.95,1382.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.975,2026.0
2024-12-28,peak inc flu hosp,NA,NA,10,quantile,0.99,2887.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.01,13.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.025,15.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.05,15.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.1,16.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.15,18.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.2,21.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.25,24.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.3,29.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.35,34.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.4,40.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.45,47.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.5,54.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.55,63.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.6,75.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.65,92.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.7,114.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.75,142.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.8,179.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.85,231.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.9,311.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.95,483.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.975,708.0
2024-12-28,peak inc flu hosp,NA,NA,11,quantile,0.99,1009.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.01,1162.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.025,1186.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.05,1206.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.1,1274.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.15,1469.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.2,1698.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.25,1977.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.3,2322.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.35,2742.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.4,3223.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.45,3741.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.5,4333.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.55,5094.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.6,6051.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.65,7371.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.7,9154.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.75,11485.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.8,14384.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.85,18619.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.9,24953.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.95,38859.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.975,55895.0
2024-12-28,peak inc flu hosp,NA,NA,12,quantile,0.99,78805.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.01,312.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.025,319.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.05,323.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.1,339.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.15,384.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.2,449.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.25,522.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.3,612.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.35,724.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.4,851.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.45,989.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.5,1143.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.55,1343.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.6,1596.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.65,1941.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.7,2416.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.75,3034.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.8,3797.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.85,4929.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.9,6581.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.95,10310.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.975,14919.0
2024-12-28,peak inc flu hosp,NA,NA,13,quantile,0.99,20982.0
2024-12-28,peak inc flu hosp,NA,NA,15,quantile,0.01,34.0
2024-12-28,peak inc flu hosp,NA,NA,15,quantile,0.025,34.0
2024-12-28,peak inc flu hosp,NA,NA,15,quantile,0.05,38.0
2024-12-28,peak inc flu hosp,NA,NA,15,quantile,0.1,38.0
2024-12-28,peak inc flu hosp,NA,NA,15,quantile,0.15,43.0
2024-12-28,peak inc flu hosp,NA,NA,15,quantile,0.2,50.0
2024-12-28,peak inc flu hosp,NA,NA,15,quantile,0.25,59.0
2024-12-28,peak inc flu hosp,NA,NA,15,quantile,0.3,68.0
2024-12-28,peak inc flu hosp,NA,NA,15,quantile,0.35,81.0
2024-12-28,peak inc flu hosp,NA,NA,15,quantile,0.4,95.0
