reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.01,697.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.025,716.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.05,724.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.1,731.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.15,737.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.2,741.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.25,742.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.3,742.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.35,742.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.4,742.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.45,743.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.5,746.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.55,749.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.6,752.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.65,757.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.7,762.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.75,775.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.8,796.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.85,831.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.9,939.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.95,1381.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.975,2537.0
2025-02-22,peak inc flu hosp,NA,NA,01,quantile,0.99,5880.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.01,52.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.025,57.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.05,61.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.1,62.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.15,62.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.2,62.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.25,62.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.3,62.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.35,62.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.4,62.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.45,62.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.5,62.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.55,63.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.6,63.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.65,64.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.7,65.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.75,67.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.8,68.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.85,71.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.9,77.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.95,117.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.975,259.0
2025-02-22,peak inc flu hosp,NA,NA,02,quantile,0.99,497.0
2025-02-22,peak inc flu hosp,NA,NA,04,quantile,0.01,2772.0
2025-02-22,peak inc flu hosp,NA,NA,04,quantile,0.025,2791.0
2025-02-22,peak inc flu hosp,NA,NA,04,quantile,0.05,2801.0
2025-02-22,peak inc flu hosp,NA,NA,04,quantile,0.1,2828.0
2025-02-22,peak inc flu hosp,NA,NA,04,quantile,0.15,2831.0
2025-02-22,peak inc flu hosp,NA,NA,04,quantile,0.2,2831.0
2025-02-22,peak inc flu hosp,NA,NA,04,quantile,0.25,2831.0
2025-02-22,peak inc flu hosp,NA,NA,04,quantile,0.3,2833.0
2025-02-22,peak inc flu hosp,NA,NA,04,quantile,0.35,2844.0
